$Combined Quabbin Quinapoxet Trout Flow,
Auto-Generated,
JDAY,Flow
1,6.62588910831912
2,5.58471746092968
3,5.01026085842448
4,4.46014563409048
5,4.18508802192348
6,3.88432756401245
7,4.80329720612624
8,6.00258471133165
9,5.05605564148131
10,4.28433069782762
11,3.9701206023281
12,3.63616922702242
13,3.35161434947353
14,3.08093199547629
15,2.91957750686812
16,2.77261745065869
17,2.61515553220173
18,2.5763599195764
19,2.48534585116468
20,2.6874391308735
21,2.95545835178046
22,2.66458503758649
23,2.36084379670652
24,2.22201953830614
25,2.14212205067241
26,1.97953812500331
27,1.98524184311793
28,2.10478071530329
29,2.43552646744474
30,2.42366313762438
31,2.1276348085903
32,1.94845542422388
33,1.86340292175005
34,1.8282358182521
35,1.8142972794445
36,1.69576300412478
37,1.61414717821101
38,1.63852156401018
39,1.83157347192824
40,2.01639677235388
41,1.89267447456606
42,1.89837819268068
43,3.17869981289736
44,4.53721300886887
45,3.47969132420425
46,2.80238411789438
47,2.40088127279389
48,2.1887688188561
49,2.05049326373022
50,2.37297118755071
51,2.44732999520971
52,2.14747511128038
53,2.24393504998346
54,2.52301726281358
55,2.08868037102564
56,1.91452397098743
57,1.82629263977678
58,2.27411217678118
59,7.57627579906752
60,6.36304354185395
61,4.60685405567721
62,3.69520744707413
63,3.13112067630455
64,2.78510792541064
65,2.76306659642197
66,3.21212178368785
67,5.41463730878424
68,8.9220861064929
69,6.96301737073644
70,7.2842204234669
71,8.59050700882626
72,5.73359195956184
73,4.65908493786473
74,4.36412100775168
75,4.41144229652124
76,4.76055543449488
77,4.88498526049653
78,4.80719598947801
79,4.50235112884846
80,3.94747076800952
81,3.62220389378741
82,3.2332451122937
83,2.94732876717197
84,2.87550106209134
85,2.75822923146052
86,2.96664716101497
87,2.77845941248578
88,3.22481845903341
89,4.62828687933598
90,4.51355236448409
91,3.59501997635974
92,3.34546716416891
93,3.70288113809149
94,6.12577694544663
95,4.62147954147179
96,4.48923156753975
97,8.84138828096197
98,7.08713770168516
99,5.01418022300311
100,4.11241454491653
101,4.9110387637472
102,5.51901635992682
103,4.33350856858968
104,3.82526876273388
105,3.40010527324862
106,3.04203735996703
107,2.81096338289344
108,2.62455377469968
109,2.49687910470527
110,2.40002928766702
111,4.98270143068794
112,7.83264410394828
113,6.26708065919572
114,4.71954636916985
115,3.88075885694046
116,3.47300359045085
117,3.05377487247604
118,2.85063777507305
119,2.42823022836144
120,2.21647464513085
121,2.21164349336996
122,2.2688189182286
123,2.11949279758069
124,2.05038802764573
125,2.14483877261752
126,3.08883673988949
127,6.3348445427847
128,7.06347705730038
129,4.84090260251918
130,4.59138279795632
131,8.77540179014672
132,12.3563545608226
133,11.975385713227
134,11.7258989162921
135,11.7317146183191
