"$Combined Quinapoxet, Quabbin, and Trout",,
FROM: Quinapocet_Quabbin_Trout.R,, 
JDAY,Temp,
1,1.124876064,
2,4.228657265,
3,4.413920052,
4,3.980946138,
5,3.428840319,
6,0.914573148,
7,0.860774727,
8,0.806976307,
9,0.753177886,
10,0.699379466,
11,0.645581046,
12,0.860774727,
13,1.075968409,
14,1.291162091,
15,1.506355773,
16,1.721549455,
17,1.936743137,
18,2.151936818,
19,2.3671305,
20,2.461277736,
21,2.555424972,
22,2.649572208,
23,2.743719443,
24,2.837866679,
25,2.932013915,
26,3.171119667,
27,3.147456814,
28,3.008319639,
29,2.993975435,
30,2.796830171,
31,2.608038613,
32,2.666626691,
33,2.557416125,
34,2.472593104,
35,2.218410243,
36,2.390125356,
37,2.284574086,
38,1.703616648,
39,1.829146296,
40,1.929057648,
41,2.028969,
42,2.128880352,
43,2.228791705,
44,2.328703057,
45,2.428614409,
46,2.528525762,
47,2.628437114,
48,2.728348466,
49,2.828259818,
50,2.928171171,
51,3.028082523,
52,3.127993875,
53,3.227905228,
54,3.535324773,
55,3.842744318,
56,4.150163864,
57,4.457583409,
58,4.765002955,
59,5.0724225,
60,5.379842046,
61,5.195390319,
62,5.010938591,
63,4.826486864,
64,4.642035137,
65,2.602906468,
66,2.566850253,
67,2.787906395,
68,2.808411613,
69,2.85462357,
70,3.084442773,
71,2.749697046,
72,2.414951318,
73,2.080205591,
74,1.729389599,
75,1.410714136,
76,1.413724816,
77,1.611488424,
78,1.776172294,
79,1.859693297,
80,2.09614326,
81,2.169964353,
82,2.114960488,
83,2.185887269,
84,2.220220631,
85,2.175958658,
86,2.306828359,
87,2.627814041,
88,3.012711546,
89,3.120308387,
90,3.227905228,
91,3.335502068,
92,3.443098909,
93,3.55069575,
94,3.658292591,
95,4.4712465,
96,5.28420041,
97,6.097154319,
98,6.910108228,
99,7.723062137,
100,8.536016046,
101,9.348969955,
102,10.16192386,
103,10.97487777,
104,11.34070703,
105,11.70653629,
106,12.07236555,
107,12.43819481,
108,12.80402407,
109,12.83988968,
110,12.8757553,
111,12.91162091,
112,12.94748652,
113,12.98335214,
114,13.01921775,
115,13.05508336,
116,13.09094898,
117,13.12681459,
118,13.1447474,
119,13.16268021,
120,13.18061301,
121,13.19854582,
122,13.21647863,
123,13.23441143,
124,13.11144361,
125,12.9884758,
126,12.86550798,
127,12.74254016,
128,12.61957234,
129,12.49660452,
130,12.37363671,
131,13.19406262,
132,14.01448853,
133,14.83491444,
134,15.65534035,
135,16.47576627,
136,17.29619218,
137,18.11661809,
138,18.937044,
139,18.63218629,
140,18.32732857,
141,18.02247085,
142,17.71761314,
143,17.41275542,
144,17.10789771,
145,16.87733305,
146,16.64676839,
147,16.41620373,
148,16.18563907,
149,15.95507441,
150,15.72450975,
151,15.49394509,
152,15.44783216,
153,15.40171923,
154,15.3556063,
155,15.30949336,
156,15.26338043,
157,15.2172675,
158,14.68267752,
159,16.47768764,
160,17.78422071,
161,19.09075377,
162,20.39728684,
163,21.70381991,
164,23.01035298,
165,24.31688605,
166,24.06582675,
167,23.81476746,
168,23.56370816,
169,23.31264887,
170,23.06158957,
171,22.81053027,
172,22.39359252,
173,21.97665476,
174,21.559717,
175,21.14277924,
176,20.72584148,
177,20.30890372,
178,13.49247764,
179,12.66334587,
180,11.92160292,
181,12.1577489,
182,12.43126975,
183,12.86206364,
184,12.88508775,
185,12.80038796,
186,12.68457165,
187,12.61549942,
188,12.71305221,
189,12.47370953,
190,12.50466692,
191,12.0887429,
192,12.51596994,
193,12.34176004,
194,12.32930189,
195,12.37827268,
196,12.38192268,
197,12.14825447,
198,12.11256933,
199,12.44549964,
200,12.32554098,
201,12.28407299,
202,12.25048763,
203,12.30659079,
204,12.55069391,
205,12.85544932,
206,12.53712341,
207,12.3525636,
208,12.52576658,
209,13.41973946,
210,13.69302107,
211,13.05399504,
212,12.78319387,
213,13.08695551,
214,12.90930235,
215,12.77693032,
216,12.69219613,
217,12.80088814,
218,13.02725641,
219,12.60651887,
220,13.3188097,
221,12.73397025,
222,13.06716661,
223,13.11343877,
224,12.9036671,
225,13.14467276,
226,12.90399257,
227,13.0928425,
228,13.43520405,
229,12.97088449,
230,13.08931214,
231,13.44462584,
232,13.20701657,
233,13.0151612,
234,13.07711268,
235,13.67980091,
236,13.64271367,
237,13.72554218,
238,13.3141079,
239,13.70216296,
240,13.76338797,
241,14.20264418,
242,15.14650036,
243,13.71141912,
244,14.70295151,
245,13.31270963,
246,13.96388201,
247,13.51886986,
248,13.64586302,
249,15.44996368,
250,14.27848791,
251,14.01914697,
252,15.63677562,
253,16.39356372,
254,14.72029544,
255,13.74366718,
256,14.16599464,
257,14.15421914,
258,15.07472328,
259,15.15888464,
260,14.52445213,
261,15.16885857,
262,17.82174939,
263,20.75666655,
264,20.53908125,
265,20.56464952,
266,20.05773648,
267,17.74368275,
268,17.33399541,
269,17.53565793,
270,17.53365938,
271,19.10131401,
272,19.17242139,
273,18.95259361,
274,18.72425098,
275,18.32270825,
276,17.40413239,
277,15.81255221,
278,16.7010199,
279,17.91699245,
280,17.60899741,
281,15.3136944,
282,16.89077843,
283,17.75554971,
284,18.51138394,
285,18.89071566,
286,18.40112197,
287,18.08291314,
288,16.75767098,
289,17.30311381,
290,17.58934297,
291,17.02559078,
292,16.28982241,
293,16.72290594,
294,17.01492485,
295,17.00330296,
296,16.86780133,
297,15.02840727,
298,15.9526887,
299,14.84118635,
300,13.01921775,
301,12.76815846,
302,12.51709916,
303,12.26603986,
304,12.01498057,
305,11.76392127,
306,11.51286198,
307,10.83653898,
308,10.16021598,
309,9.483892978,
310,8.807569978,
311,8.131246978,
312,7.454923978,
313,6.778600978,
314,6.532665341,
315,6.286729705,
316,6.040794069,
317,5.794858432,
318,5.548922796,
319,5.30298716,
320,5.057051523,
321,5.146715557,
322,5.236379591,
323,5.326043625,
324,10.39810092,
325,10.65995777,
326,10.52657562,
327,10.24581099,
328,10.10700619,
329,10.00793733,
330,9.887515205,
331,9.603072369,
332,8.982333322,
333,9.498285324,
334,9.354018511,
335,9.319913441,
336,9.274305857,
337,9.217271034,
338,9.177672983,
339,9.111687942,
340,8.957233184,
341,8.79680097,
342,8.595688194,
343,8.375168197,
344,8.046160995,
345,7.868340065,
346,7.657602473,
347,7.130641395,
348,6.948601618,
349,6.790300943,
350,6.603797907,
351,6.415550098,
352,6.380457331,
353,6.298424812,
354,6.132418467,
355,5.997537662,
356,5.978519392,
357,5.81087431,
358,5.650938904,
359,5.40996729,
