$Combined Quabbin Quinapoxet Trout WQ,
Auto-Generated,
JDAY,TDS
1,65.1010832971669
2,72.8112199472161
3,77.7401600991237
4,78.2202412693706
5,84.9370923154526
6,81.3470183922436
7,94.6018316794495
8,104.462475131557
9,97.8522994079951
10,91.8126093499325
11,86.1748009867073
12,85.9734115042842
13,84.8506245802216
14,84.9375028993342
15,84.8786823252179
16,86.9192977805923
17,82.6607787792379
18,80.7349065739648
19,80.7059783855119
20,82.0574066516304
21,84.4618582443628
22,83.4079402010232
23,83.345934003063
24,84.6297079306955
25,85.4199425331513
26,85.2114498568916
27,83.931223846029
28,85.9437383281266
29,101.444728109165
30,100.88895193811
31,100.841426209441
32,97.6612224494266
33,98.285923731236
34,98.1548062877911
35,91.9608933372628
36,94.2761985671352
37,90.6512541422584
38,88.6918949905602
39,103.06965789475
40,103.14447871511
41,100.923050914581
42,109.116642796073
43,113.887518297612
44,95.3710704176399
45,90.3462181763682
46,93.1158591807436
47,93.6912838237873
48,94.8868889757743
49,95.7548952821981
50,115.511877752823
51,107.124897281691
52,109.799305557539
53,120.57589591028
54,127.634490520483
55,124.848864894412
56,122.566921261588
57,123.034522825823
58,121.371401719724
59,97.429033656767
60,89.7897475732718
61,85.5879917648767
62,88.4636665133252
63,88.1529334537393
64,90.6843935116494
65,99.4861454412626
66,100.97619297742
67,91.9896719222182
68,84.2162044756962
69,89.5223471602681
70,95.3861665297077
71,85.3651820787248
72,85.2307093711942
73,89.2296964089599
74,91.2521889848713
75,90.904255565938
76,89.9546472087458
77,88.6025514379751
78,87.4739884038891
79,86.5051485418838
80,86.6705114758889
81,88.1946725738162
82,93.1387040187251
83,102.355710636471
84,102.687225907629
85,103.710163184656
86,102.810451141982
87,102.437753283765
88,102.338850693493
89,98.7160427782382
90,95.6158338318272
91,98.3832578101252
92,101.50073242522
93,102.126549415762
94,95.7843938571073
95,98.5071198592786
96,96.8026358486538
97,90.3378775814553
98,91.8330739545687
99,96.7348621564943
100,99.687101093785
101,98.4406645197786
102,95.5682975840999
103,98.6088283895948
104,100.119066233962
105,102.534318237691
106,103.604443186529
107,106.587372008705
108,108.212504437558
109,107.96282287511
110,107.128805737482
111,98.7100464356624
112,93.7177446630752
113,94.5663640537332
114,97.0736752294283
115,102.317256347204
116,103.618683218985
117,103.446448211981
118,106.256612242773
119,107.289402903153
120,109.279198512659
121,109.972077627969
122,111.679294391486
123,111.927992808037
124,112.587040400207
125,111.919041336795
126,106.997276377655
127,97.1077536997362
128,93.5581314069073
129,97.3662816329437
130,98.387856018136
131,54.9537007863549
132,44.4482062748394
133,43.507661257506
134,42.5082997263942
135,42.7105036469335
136,42.0655930077901
137,44.8333488338306
138,43.9036416267528
139,42.3920540890941
140,41.8921168288152
141,41.0485506326768
142,40.1771524104588
143,39.4634053362274
144,39.2660685241356
145,38.7898584864554
146,37.6983290691443
147,38.7014354151703
148,39.3504029988259
149,40.2956792636701
150,40.4515845611567
151,39.5318897978984
152,38.1181376433255
153,37.7691106819773
154,35.9841590899669
155,34.8597498457672
156,35.3934332022698
157,35.3932842130843
158,35.0806655840792
159,34.6219725221354
160,35.2649019375085
161,34.8642467809307
162,35.4343093961381
163,44.464460830315
164,43.6589529843018
165,44.8413849476114
166,44.7118434776929
167,43.0304859730149
168,40.6200845112732
169,40.8706056177839
170,47.3574488229769
171,45.1632977156023
172,43.4290336025528
173,44.7493300155918
174,48.4595438975655
175,48.553497363098
176,44.7032566667759
177,43.2314488964031
178,45.1793374841776
179,63.1370719186619
180,50.8671427489118
181,43.8427920196311
182,46.2043278379873
183,55.8803037437101
184,51.5131852884559
185,47.3823084109273
186,44.2376542956134
187,42.0331133485004
188,42.5909674346264
189,46.5174023864627
190,44.8310277696658
191,42.1453743845204
192,40.7020144222216
193,43.6570297706298
194,43.5799900877782
195,40.6333407416756
196,38.9028149321965
197,39.9842802777195
198,38.6474076413107
199,41.76757377842
200,40.3041495432469
201,38.9853152332032
202,40.8633133881487
203,43.1382085524681
204,42.1792784224499
205,56.2752300603415
206,53.0077259190175
207,50.5250092903367
208,51.4631705025988
209,47.2673249488073
210,45.2684068779983
211,43.9796270036487
212,47.0319325416063
213,50.3515462185885
214,46.3369712638174
215,43.7437349522255
216,42.69742371612
217,41.2769412509041
218,40.6459900484411
219,44.5730372495207
220,39.1196984527566
221,38.6081145462048
222,38.7626935627795
223,40.8960989669887
224,40.8584986842578
225,40.1112662542605
226,39.5131545408438
227,38.7249107631303
228,37.9224539818128
229,37.1943964507101
230,36.4560966014876
231,36.2467246741755
232,36.569174854811
233,34.7782390134773
234,36.8041564766444
235,42.6864987726744
236,41.5442774923576
237,39.4346969105494
238,38.3461004741926
239,36.9740102185982
240,37.1214673073844
241,44.2371568361261
242,44.0128603030837
243,39.5117563782326
244,37.8954099290625
245,40.0362096289061
246,36.0930052498629
247,34.8192025784886
248,34.1965026502352
249,33.7781628703708
250,34.2262248296721
251,33.4659416388323
252,33.3640898617077
253,33.3220384072322
254,33.3253349557174
